fuzzy_val,num_seeds,sigma,dilation_kernel,dice_score
0.6586206896551725,6,2.5,3,0.8723404255319149
0.5562068965517242,7,2.0,3,0.9007633587786259
0.6586206896551725,9,2.5,3,0.8735632183908046
0.6927586206896552,7,5.0,3,0.8858447488584474
0.5220689655172415,9,4.0,3,0.7929824561403509
0.3513793103448276,6,2.0,5,0.7707808564231738
0.7268965517241379,11,4.0,5,0.8374233128834356
0.24896551724137933,11,2.0,5,0.8610086100861009
0.4537931034482759,11,3.5,5,0.8997867803837953
0.21482758620689657,11,2.5,5,0.9201101928374655
0.11241379310344828,10,2.0,3,0.9147034930950447
0.14655172413793105,11,2.0,5,0.9119541875447388
0.3513793103448276,11,3.5,7,0.9156146179401994
0.31724137931034485,9,3.0,7,0.9168230143839899
0.31724137931034485,11,2.0,7,0.9279636982416336
0.1806896551724138,10,2.0,5,0.9365853658536586
0.1806896551724138,10,2.0,5,0.9333333333333333
0.2831034482758621,8,3.0,7,0.9144981412639405
0.2831034482758621,10,2.5,7,0.9126043039086518
0.21482758620689657,11,2.0,7,0.9071487263763353
0.1806896551724138,10,2.0,7,0.9116420174440653
0.24896551724137933,11,2.0,7,0.912781954887218
0.21482758620689657,7,3.5,7,0.9171270718232044
0.1806896551724138,8,2.5,7,0.9234899328859061
0.21482758620689657,5,3.0,7,0.8967571144937128
0.21482758620689657,10,2.5,7,0.9151193633952255
0.1806896551724138,11,2.0,7,0.933662449861154
0.11241379310344828,4,2.0,5,0.9424019607843137
0.1806896551724138,11,2.0,7,0.9185977421271538
0.1806896551724138,9,2.0,7,0.8965087281795511
0.1806896551724138,11,3.5,5,0.8964896489648965
0.21482758620689657,11,3.0,7,0.8979719188767551
0.14655172413793105,7,2.0,7,0.8828771483131763
0.21482758620689657,9,3.0,7,0.8544572468162522
0.2831034482758621,9,5.0,7,0.8201150863147361
0.31724137931034485,9,5.0,5,0.8718655276935795
0.1806896551724138,9,3.0,7,0.9112734864300627
0.1806896551724138,11,2.5,7,0.8945078847199565
0.31724137931034485,9,5.0,5,0.8856349406715476
0.31724137931034485,9,5.0,5,0.8881578947368421
0.31724137931034485,11,5.0,7,0.8951494365507104
0.1806896551724138,11,2.5,7,0.8737667594232229
0.14655172413793105,8,2.5,7,0.847585394581861
0.2831034482758621,10,5.0,7,0.8292794860027536
0.14655172413793105,10,2.5,7,0.8912006935413957
0.1806896551724138,4,4.0,7,0.8472165786265745
0.24896551724137933,11,5.0,5,0.8798336798336799
0.24896551724137933,11,4.5,7,0.8600682593856656
0.24896551724137933,9,5.0,7,0.8552045791816832
0.2831034482758621,11,5.0,5,0.860176191551841
0.14655172413793105,11,2.0,7,0.8583844580777096
0.1806896551724138,11,3.0,7,0.8794803945152755
0.21482758620689657,11,3.0,7,0.8718870346598203
0.3513793103448276,10,4.5,7,0.8233731739707836
0.2831034482758621,6,4.5,5,0.8409034499875899
0.2831034482758621,9,4.5,3,0.8440550688360451
0.31724137931034485,10,4.0,7,0.8704284221525601
0.3513793103448276,10,4.5,7,0.8905149051490515
0.14655172413793105,10,2.0,7,0.9101219166430394
0.24896551724137933,10,3.5,7,0.885940146809712
0.24896551724137933,11,3.0,7,0.9033434650455927
0.31724137931034485,11,4.5,7,0.8851644941030415
0.21482758620689657,11,2.5,7,0.8989460632362059
0.1806896551724138,9,2.5,7,0.8897734231475811
0.24896551724137933,11,4.0,7,0.8746021642266073
0.14655172413793105,7,2.5,7,0.8651766402307137
0.1806896551724138,10,2.0,7,0.9015151515151515
0.1806896551724138,10,2.0,7,0.9198149575944488
0.21482758620689657,9,2.5,7,0.9122244488977956
0.21482758620689657,10,2.5,7,0.9120521172638436
0.2831034482758621,11,3.0,7,0.9165585819282317
0.2831034482758621,10,2.5,7,0.8364941055868785
0.4537931034482759,10,4.5,7,0.8397790055248618
0.5220689655172415,11,5.0,7,0.842603550295858
0.5220689655172415,10,4.0,7,0.8396464646464646
0.48793103448275865,10,4.0,7,0.8468708388814914
1.0,10,3.5,7,0.8474830954169797
0.6927586206896552,10,4.5,7,0.850828729281768
0.5220689655172415,8,3.5,7,0.8516345347862532
0.863448275862069,9,4.5,7,0.8620071684587813
0.6927586206896552,7,2.5,7,0.8731808731808732
0.8975862068965518,10,2.0,7,0.8683351468988031
0.7610344827586207,8,2.5,7,0.8779284833538841
0.8293103448275863,11,2.0,5,0.8904899135446686
0.6927586206896552,9,3.0,5,0.8976897689768977
0.863448275862069,10,3.0,3,0.8175519630484989
0.6927586206896552,10,2.5,3,0.8152866242038217
0.8975862068965518,11,2.5,3,0.8633879781420765
